slug,language,title,grade_level,version,filename,split
10dollarbill-woman,en,"Tubman, Perkins or Roosevelt? Woman on $10 bill campaign begins",12.0,0,10dollarbill-woman.en.0.txt,train
10dollarbill-woman,en,Americans weigh in to choose the woman who will grace the new $10 bill,8.0,1,10dollarbill-woman.en.1.txt,train
10dollarbill-woman,en,The $10 question: Who will be the new face on U.S. currency?,6.0,2,10dollarbill-woman.en.2.txt,train
10dollarbill-woman,en,New $10 bill will have a theme and a woman's picture for the first time,5.0,3,10dollarbill-woman.en.3.txt,train
10dollarbill-woman,en,We will soon have an American woman's face on a new $10 bill,3.0,4,10dollarbill-woman.en.4.txt,train
17century-selfies,en,"17th century ""selfies"" show at Dutch museum, the Mauritshuis",12.0,0,17century-selfies.en.0.txt,train
17century-selfies,en,"Dutch Golden Age artists created some of the original ""selfies""",9.0,1,17century-selfies.en.1.txt,train
17century-selfies,en,"17th century self-portraits exhibited as the original ""selfies""",7.0,2,17century-selfies.en.2.txt,train
17century-selfies,en,"The ""selfie"" evolution, from paint brush to cellphone click",4.0,3,17century-selfies.en.3.txt,train
17century-selfies,en,"Old paintings look like early ""selfies""",2.0,4,17century-selfies.en.4.txt,train
20dollarbill-female,en,Group pushing for female face on $20 bill narrows field to four finalists,12.0,0,20dollarbill-female.en.0.txt,train
20dollarbill-female,en,"A woman's place is on the $20 bill, says group holding vote on 4 candidates",9.0,1,20dollarbill-female.en.1.txt,train
20dollarbill-female,en,"Replace Andrew Jackson with a woman on the $20 bill, group says",7.0,2,20dollarbill-female.en.2.txt,train
20dollarbill-female,en,Women on 20s group pushes to replace Andrew Jackson on $20 bill,6.0,3,20dollarbill-female.en.3.txt,train
20dollarbill-female,en,Group wants a woman on the $20 bill instead of Andrew Jackson,4.0,4,20dollarbill-female.en.4.txt,train
3D-limbs,en,Kids get new hands made with 3-D printers,12.0,0,3D-limbs.en.0.txt,train
3D-limbs,en,Kids get real helping hands from 3-D printers,8.0,1,3D-limbs.en.1.txt,train
3D-limbs,en,Kids love their Robohands,6.0,2,3D-limbs.en.2.txt,train
3D-limbs,en,High-fives for 3-D hands,4.0,3,3D-limbs.en.3.txt,train
3D-limbs,en,Printing out a new hand. Really!,3.0,4,3D-limbs.en.4.txt,train
3d-indoormap,en,"Building an indoor 3-D map on the spot, via smartphone",12.0,0,3d-indoormap.en.0.txt,train
3d-indoormap,en,Getting smartphones to create 3-D indoor maps on the go,8.0,1,3d-indoormap.en.1.txt,train
